wavelength,Fe3+,Fe3+ - Bisabolol,Fe2+ - Bisabolol,Fe2+ - Bisabolol - CO
262,0.281051,0.29827,1.276761,1.126311
261,0.274059,0.291352,1.313373,1.155099
260,0.267116,0.284744,1.352973,1.188972
259,0.260401,0.278346,1.397768,1.224547
258,0.253604,0.272173,1.447026,1.263801
257,0.24692,0.266333,1.497587,1.307849
256,0.241342,0.260616,1.556615,1.355571
255,0.236894,0.256498,1.621246,1.411043
254,0.233561,0.254254,1.688455,1.469225
253,0.231716,0.252672,1.767769,1.538917
252,0.230862,0.252453,1.850766,1.611666
251,0.230056,0.251704,1.944249,1.689585
250,0.232855,0.254591,2.043493,1.775224
